title,score,popcornScore,favorite,recommended,link,popcornLink
Ted Lasso,9,85,TRUE,FALSE,https://www.instagram.com/p/DCUVoc9O6Kg/,https://www.rottentomatoes.com/tv/ted_lasso
Monsters: The Lyle and Erik Menendez Story,7.4,70,FALSE,TRUE,https://www.instagram.com/p/DDegfsNOOs4/,https://www.rottentomatoes.com/tv/monsters
Shōgun,9.3,84,TRUE,FALSE,https://www.instagram.com/p/DE2DhxLOJ1_/,https://www.rottentomatoes.com/tv/shogun_2024
Squid Game Season 2,8.1,66,FALSE,TRUE,https://www.instagram.com/p/DFutCw6OCMn/,https://www.rottentomatoes.com/tv/squid_game
Adolescence,8.4,74,TRUE,FALSE,https://www.instagram.com/p/DHbQDZOyRH7/,https://www.rottentomatoes.com/tv/adolescence
The Gentlemen,8.9,84,TRUE,FALSE,https://www.instagram.com/p/DHs-gHtCFgV/,https://www.rottentomatoes.com/tv/the_gentlemen
The White Lotus Season 3,8,77,FALSE,TRUE,https://www.instagram.com/p/DIySnjto4K8/,https://www.rottentomatoes.com/tv/the_white_lotus
Squid Game Season 3,6.6,66,FALSE,FALSE,https://www.instagram.com/p/DLrr5SyCwzv/,https://www.rottentomatoes.com/tv/squid_game
The Bear Season 4,7.5,77,FALSE,TRUE,https://www.instagram.com/p/DMcmRJsiKtQ/,https://www.rottentomatoes.com/tv/the_bear
